cluster	gene
Fibroblast(Aorta)	Zfp592
Fibroblast(Aorta)	AI597468
Fibroblast(Aorta)	B4galt1
Fibroblast(Aorta)	Tmem106c
Fibroblast(Aorta)	Ift27
Fibroblast(Aorta)	Cd164
Fibroblast(Aorta)	Gxylt2
Fibroblast(Aorta)	Sfrp2
Fibroblast(Aorta)	Ddr1
Fibroblast(Aorta)	Uba1
Fibroblast(Aorta)	Dsg2
Fibroblast(Aorta)	Spin1
Fibroblast(Aorta)	Copa
Fibroblast(Aorta)	Spon1
Fibroblast(Aorta)	Copb2
Fibroblast(Aorta)	Spry2
Fibroblast(Aorta)	Atxn10
Fibroblast(Aorta)	Kazald1
Fibroblast(Aorta)	Espn
Fibroblast(Aorta)	Tmem63a
Fibroblast(Aorta)	Hmgn3
Fibroblast(Aorta)	Tmem39a
Fibroblast(Aorta)	Bad
Fibroblast(Aorta)	2310022B05Rik
Fibroblast(Aorta)	Esyt2
Fibroblast(Aorta)	Ddost
Fibroblast(Aorta)	Prdx5
Fibroblast(Aorta)	Brd3
Fibroblast(Aorta)	Pmm1
Fibroblast(Aorta)	Cxxc5
Fibroblast(Aorta)	Zfp703
Fibroblast(Aorta)	Zbed6
